ID,x,y,kmeans
spot_758,16703,9293,0
spot_759,11168,21197,2
spot_760,17461,9436,0
spot_761,8371,8000,2
spot_762,9896,14671,1
spot_763,20753,16250,0
spot_764,14952,19886,2
spot_765,9151,22651,1
spot_766,14941,12632,0
spot_767,20489,9142,0
spot_768,12677,17713,2
spot_769,11166,20037,2
spot_770,5862,17869,1
spot_771,20760,20892,0
spot_772,15193,12196,0
spot_773,12172,17714,2
spot_774,16970,19012,2
spot_775,15444,11180,0
spot_776,19241,18283,0
spot_777,14192,18001,2
spot_778,22271,18859,0
spot_779,9902,18733,1
spot_780,19493,17558,0
spot_781,13923,6830,2
spot_782,15689,6393,0
spot_783,12659,6107,2
spot_784,8135,18881,1
spot_785,7359,6550,2
spot_786,9129,8434,2
spot_787,13930,11473,2
spot_788,7879,16705,1
spot_789,16702,8712,0
spot_790,9883,6256,2
spot_791,10389,7126,2
spot_792,7629,18011,1
spot_793,23032,21324,0
spot_794,4344,15840,1
spot_795,8873,6258,2
spot_796,11407,12347,2
spot_797,14692,14518,0
spot_798,7109,7856,2
spot_799,6353,8873,1
spot_800,20245,14220,0
spot_801,21495,6529,0
spot_802,7866,7710,2
spot_803,21012,20457,0
spot_804,10160,22649,1
spot_805,6866,14095,1
spot_806,18480,15818,0
spot_807,15962,19884,2
spot_808,15694,9584,0
spot_809,15701,13936,0
spot_810,12417,12346,2
spot_811,5104,17434,1
spot_812,13421,9152,2
spot_813,12676,16843,2
spot_814,10150,15976,1
spot_815,6372,21640,1
spot_816,6122,23236,1
spot_817,16460,15531,0
spot_818,6120,21495,1
spot_819,10661,20037,1
spot_820,12934,20759,2
spot_821,15446,12631,0
spot_822,7865,7420,2
spot_823,15701,14227,0
spot_824,8373,9450,2
spot_825,19238,16252,0
spot_826,19993,14365,0
spot_827,22503,5076,0
spot_828,17975,15529,0
spot_829,12664,9299,2
spot_830,4846,13808,1
spot_831,6107,13081,1
spot_832,23009,6236,0
spot_833,7635,21783,1
spot_834,18478,14367,0
spot_835,13190,22935,2
spot_836,4102,22369,1
spot_837,13937,16405,2
spot_838,17964,8275,0
spot_839,9394,16993,1
spot_840,12155,6688,2
spot_841,17724,16255,0
spot_842,15708,18579,2
spot_843,19740,14220,0
spot_844,18740,20315,0
spot_845,9137,13946,1
spot_846,6100,8728,1
spot_847,11398,6544,2
spot_848,10911,18441,2
spot_849,12163,11621,2
spot_850,10397,12059,2
spot_851,10659,18587,1
spot_852,4090,14825,1
spot_853,19495,19298,0
spot_854,22023,21616,0
spot_855,8370,7129,2
spot_856,7864,6550,2
spot_857,5108,20046,1
spot_858,14685,9876,2
spot_859,10155,19168,1
spot_860,9140,15397,1
spot_861,10905,14379,1
spot_862,5605,14822,1
spot_863,14185,13358,0
spot_864,13438,19888,2
spot_865,18479,14948,0
spot_866,17470,15820,0
spot_867,20504,18717,0
spot_868,16192,5231,0
spot_869,19497,20749,0
spot_870,19728,6677,0
spot_871,13186,20324,2
spot_872,13440,21049,2
spot_873,4598,16565,1
spot_874,8638,17719,1
spot_875,12671,13941,2
spot_876,12679,19164,2
spot_877,6121,22365,1
spot_878,14939,10891,0
spot_879,6613,13660,1
spot_880,8374,9740,2
spot_881,18743,22636,0
spot_882,11660,13072,1
spot_883,15711,20610,2
spot_884,16199,9874,0
spot_885,12167,14522,2
spot_886,19225,7838,0
spot_887,8890,16993,1
spot_888,15443,10310,0
spot_889,9139,14817,1
spot_890,14939,11181,0
spot_891,16195,7262,0
spot_892,12181,23517,2
spot_893,5863,18739,1
spot_894,9648,17718,1
spot_895,19497,20459,0
spot_896,13681,13649,2
spot_897,4346,17291,1
spot_898,14958,23367,2
spot_899,10142,10463,2
spot_900,14683,9005,2
spot_901,12912,5962,2
spot_902,19489,15526,0
spot_903,5103,17144,1
spot_904,5615,21786,1
spot_905,16456,12630,0
spot_906,13930,11763,0
spot_907,19477,7112,0
spot_908,20763,23214,0
spot_909,14940,12052,0
spot_910,13421,8862,2
spot_911,15193,11906,0
spot_912,5347,11486,1
spot_913,15967,23366,2
spot_914,14691,14228,0
spot_915,9642,13946,1
spot_916,10146,13365,1
spot_917,15205,20321,2
spot_918,22025,23067,0
spot_919,9653,21199,1
spot_920,12686,23226,2
spot_921,8893,19025,1
spot_922,12407,6252,2
spot_923,11144,5529,2
spot_924,19731,8417,0
spot_925,18486,19300,0
spot_926,6368,18738,1
spot_927,17721,14804,0
spot_928,21512,17845,0
spot_929,20750,14509,0
spot_930,3846,20193,1
spot_931,18993,20750,0
spot_932,7878,15544,1
spot_933,15965,21915,0
spot_934,19735,11029,0
spot_935,7864,6840,2
spot_936,11166,19746,2
spot_937,20748,13348,0
spot_938,19236,15092,0
spot_939,10403,16121,1
spot_940,7622,13368,2
spot_941,21243,6674,0
spot_942,20001,20168,0
spot_943,10396,11478,2
