barcode,x,y,original_cluster,mclust_seed_141,mclust_seed_549,mclust_seed_75,mclust_seed_492,mclust_seed_676,mclust_seed_179,mclust_seed_587,mclust_seed_592,mclust_seed_601,mclust_seed_916,mclust_seed_518,mclust_seed_339,mclust_seed_921,mclust_seed_423,mclust_seed_330,mclust_seed_388,mclust_seed_273,mclust_seed_286,mclust_seed_61,mclust_seed_807,mclust_seed_283,mclust_seed_127,mclust_seed_165,mclust_seed_952,mclust_seed_311,mclust_seed_597,mclust_seed_473,mclust_seed_594,mclust_seed_605,mclust_seed_101
102,171.550150663391,218.550150663391,9,7,4,5,7,5,6,6,7,4,8,9,7,7,8,6,4,6,7,6,7,7,7,3,5,5,6,6,7,7,5
103,190.823504085177,218.550150663391,2,7,6,5,7,5,6,6,6,6,8,9,7,7,8,7,6,7,8,7,7,6,7,3,6,5,6,6,7,8,5
104,210.096857506962,218.550150663391,2,7,6,6,7,6,6,6,6,6,8,9,3,3,7,7,6,7,8,7,7,6,7,3,6,6,6,6,7,8,5
105,229.370210928748,218.550150663391,2,7,6,6,7,6,6,6,6,6,8,3,3,3,7,7,6,7,8,7,7,6,5,7,6,6,5,6,7,8,5
106,248.643564350534,218.550150663391,2,7,6,6,5,6,6,6,6,6,8,3,3,3,7,7,6,7,8,7,7,6,5,7,6,6,5,8,7,8,5
107,267.916917772319,218.550150663391,2,7,6,6,5,6,6,7,6,6,8,3,3,3,7,7,6,7,8,7,7,6,5,7,6,6,5,8,7,8,7
108,422.103745146603,218.550150663391,10,4,5,4,6,4,4,5,5,5,5,7,6,6,6,5,5,5,5,5,4,5,4,6,4,4,4,7,6,5,4
109,441.377098568389,218.550150663391,10,4,5,4,6,4,4,5,5,5,5,7,6,6,6,5,5,5,5,5,4,5,4,6,4,4,4,7,6,5,4
110,460.650451990174,218.550150663391,10,4,5,4,6,4,4,5,5,5,5,7,6,6,6,5,5,5,5,5,4,5,4,6,4,4,4,7,6,5,4
111,518.470512255531,218.550150663391,10,4,5,4,6,4,4,5,5,5,5,7,6,6,6,5,5,5,5,5,4,5,4,6,4,4,4,7,6,5,4
112,537.743865677316,218.550150663391,10,4,5,4,6,4,4,5,5,5,5,7,6,6,6,5,5,5,5,5,4,5,4,6,4,4,4,7,6,5,4
113,557.017219099102,218.550150663391,10,4,5,4,6,4,4,5,5,5,5,7,6,6,6,5,5,5,5,5,1,5,4,6,4,4,4,7,6,5,4
114,576.290572520888,218.550150663391,10,4,5,4,6,4,4,5,5,5,5,7,6,6,6,5,5,5,5,5,4,5,4,6,4,4,4,7,6,5,4
115,653.38398620803,218.550150663391,7,4,1,5,2,4,5,2,7,4,5,6,2,6,4,5,4,6,7,6,6,7,1,6,4,3,1,2,3,7,4
116,672.657339629815,218.550150663391,7,6,1,5,2,1,5,2,7,4,1,6,2,6,4,2,4,6,7,6,6,7,7,6,5,3,1,2,3,7,1
117,691.930693051601,218.550150663391,7,6,4,5,2,5,5,8,7,4,8,6,2,7,4,6,4,6,7,6,6,7,7,3,5,3,1,2,3,7,1
118,749.750753316957,218.550150663391,9,2,4,5,2,5,5,8,7,4,8,9,7,7,1,6,4,6,7,6,6,7,7,3,5,5,1,2,3,7,1
119,769.024106738743,218.550150663391,9,2,4,5,2,5,5,8,7,2,8,9,7,7,1,6,4,6,7,6,6,7,7,3,5,5,1,2,3,7,1
120,788.297460160528,218.550150663391,9,2,4,5,2,5,5,8,7,1,8,9,7,7,1,6,4,6,7,6,6,7,7,3,5,5,1,2,3,7,1
121,923.210934113027,218.550150663391,9,6,2,5,2,2,5,2,4,2,2,6,2,2,2,2,2,6,7,2,6,7,2,2,2,2,2,2,3,2,2
122,942.484287534812,218.550150663391,9,6,2,5,2,2,5,2,4,2,2,6,2,2,2,2,2,6,7,6,6,7,2,2,2,2,2,2,3,2,2
